Discount	Mortgage Amount	Market Value	LTV
-0.39	900000	2500000	36
-0.39	950000	2500000	38
-0.45	1000000	2500000	40
-0.45	1050000	2500000	42
-0.45	1100000	2500000	44
-0.45	1150000	2500000	46
-0.45	1200000	2500000	48
-0.45	1250000	2500000	50
-0.45	1300000	2500000	52
-0.45	1350000	2500000	54
-0.45	1400000	2500000	56
-0.45	1450000	2500000	58
-0.47	1500000	2500000	60
-0.42	1550000	2500000	62
-0.42	1600000	2500000	64
-0.37	1650000	2500000	66
-0.37	1700000	2500000	68
-0.37	1750000	2500000	70
-0.32	1800000	2500000	72
-0.32	1850000	2500000	74
-0.27	1900000	2500000	76
-0.21	1950000	2500000	78
-0.18	2000000	2500000	80
-0.10	2050000	2500000	82
-0.10	2100000	2500000	84
-0.10	2150000	2500000	86
-0.10	2200000	2500000	88
-0.10	2250000	2500000	90
-0.10	2300000	2500000	92
-0.10	2350000	2500000	94
-0.10	2400000	2500000	96
-0.10	2450000	2500000	98
-0.10	2500000	2500000	100
