Valdistriktnamn;Parti;Röster
Rosendal - Siegbahnsparken;ej anmält deltagande;0
Rosendal - Siegbahnsparken;blanka röster;8
Rosendal - Siegbahnsparken;övriga ogiltiga;0
Rosendal - Siegbahnsparken;Valdeltagande;1226
Ultuna - Ulleråker - Polacksbacken;Moderaterna;64
Ultuna - Ulleråker - Polacksbacken;Arbetarepartiet-Socialdemokraterna;131
Ultuna - Ulleråker - Polacksbacken;Liberalerna (tidigare Folkpartiet);26
Ultuna - Ulleråker - Polacksbacken;Centerpartiet;78
Ultuna - Ulleråker - Polacksbacken;Vänsterpartiet;76
Ultuna - Ulleråker - Polacksbacken;Miljöpartiet de gröna;90
Ultuna - Ulleråker - Polacksbacken;Kristdemokraterna;17
Ultuna - Ulleråker - Polacksbacken;Sverigedemokraterna;34
Ultuna - Ulleråker - Polacksbacken;Piratpartiet;1
Ultuna - Ulleråker - Polacksbacken;Feministiskt initiativ;1
Ultuna - Ulleråker - Polacksbacken;Direktdemokraterna;1
Ultuna - Ulleråker - Polacksbacken;Medborgerlig Samling;3
Ultuna - Ulleråker - Polacksbacken;Alternativ för Sverige;1
Ultuna - Ulleråker - Polacksbacken;Klimatalliansen;1
Ultuna - Ulleråker - Polacksbacken;övriga anmälda partier;0
Ultuna - Ulleråker - Polacksbacken;Summa giltiga röster;524
Ultuna - Ulleråker - Polacksbacken;ej anmält deltagande;0
Ultuna - Ulleråker - Polacksbacken;blanka röster;3
Ultuna - Ulleråker - Polacksbacken;övriga ogiltiga;0
Ultuna - Ulleråker - Polacksbacken;Valdeltagande;527
Ulleråker södra;Moderaterna;119
Ulleråker södra;Arbetarepartiet-Socialdemokraterna;264
Ulleråker södra;Liberalerna (tidigare Folkpartiet);72
Ulleråker södra;Centerpartiet;86
Ulleråker södra;Vänsterpartiet;96
Ulleråker södra;Miljöpartiet de gröna;145
Ulleråker södra;Kristdemokraterna;42
Ulleråker södra;Sverigedemokraterna;79
Ulleråker södra;Piratpartiet;3
Ulleråker södra;Socialisterna-Välfärdspartiet;2
Ulleråker södra;Landsbygdspartiet Oberoende;1
Ulleråker södra;Medborgerlig Samling;3
Ulleråker södra;Alternativ för Sverige;2
Ulleråker södra;Partiet Nyans;1
Ulleråker södra;MoD;1
Ulleråker södra;övriga anmälda partier;0
Ulleråker södra;Summa giltiga röster;916
Ulleråker södra;ej anmält deltagande;0
Ulleråker södra;blanka röster;2
Ulleråker södra;övriga ogiltiga;0
Ulleråker södra;Valdeltagande;918
Bäcklösa;Moderaterna;108
Bäcklösa;Arbetarepartiet-Socialdemokraterna;255
Bäcklösa;Liberalerna (tidigare Folkpartiet);27
Bäcklösa;Centerpartiet;62
Bäcklösa;Vänsterpartiet;118
Bäcklösa;Miljöpartiet de gröna;56
Bäcklösa;Kristdemokraterna;24
Bäcklösa;Sverigedemokraterna;43
Bäcklösa;Piratpartiet;4
Bäcklösa;Klassiskt liberala partiet;1
Bäcklösa;Socialisterna-Välfärdspartiet;1
Bäcklösa;Medborgerlig Samling;2
Bäcklösa;Alternativ för Sverige;1
Bäcklösa;Partiet Vändpunkt;1
Bäcklösa;Partiet Nyans;9
Bäcklösa;Klimatalliansen;1
Bäcklösa;ANARKISTERNA;1
Bäcklösa;övriga anmälda partier;0
Bäcklösa;Summa giltiga röster;714
Bäcklösa;ej anmält deltagande;0
Bäcklösa;blanka röster;4
Bäcklösa;övriga ogiltiga;1
Bäcklösa;Valdeltagande;719
Valsätra norra;Moderaterna;207
Valsätra norra;Arbetarepartiet-Socialdemokraterna;366
Valsätra norra;Liberalerna (tidigare Folkpartiet);121
Valsätra norra;Centerpartiet;118
Valsätra norra;Vänsterpartiet;110
Valsätra norra;Miljöpartiet de gröna;211
Valsätra norra;Kristdemokraterna;51
Valsätra norra;Sverigedemokraterna;99
Valsätra norra;Enhet;1
Valsätra norra;Feministiskt initiativ;1
Valsätra norra;Landsbygdspartiet Oberoende;1
Valsätra norra;Direktdemokraterna;1
Valsätra norra;Medborgerlig Samling;7
Valsätra norra;Alternativ för Sverige;2
Valsätra norra;Partiet Nyans;11
Valsätra norra;Kristna Värdepartiet;1
Valsätra norra;övriga anmälda partier;0
Valsätra norra;Summa giltiga röster;1308
Valsätra norra;ej anmält deltagande;0
Valsätra norra;blanka röster;3
Valsätra norra;övriga ogiltiga;0
Valsätra norra;Valdeltagande;1311
Valsätra - Spinnrocksvägen;Moderaterna;55
Valsätra - Spinnrocksvägen;Arbetarepartiet-Socialdemokraterna;188
Valsätra - Spinnrocksvägen;Liberalerna (tidigare Folkpartiet);24
Valsätra - Spinnrocksvägen;Centerpartiet;39
Valsätra - Spinnrocksvägen;Vänsterpartiet;91
Valsätra - Spinnrocksvägen;Miljöpartiet de gröna;44
Valsätra - Spinnrocksvägen;Kristdemokraterna;18
Valsätra - Spinnrocksvägen;Sverigedemokraterna;59
Valsätra - Spinnrocksvägen;Piratpartiet;1
Valsätra - Spinnrocksvägen;Socialisterna-Välfärdspartiet;2
Valsätra - Spinnrocksvägen;Landsbygdspartiet Oberoende;1
Valsätra - Spinnrocksvägen;Medborgerlig Samling;1
Valsätra - Spinnrocksvägen;Partiet Nyans;15
Valsätra - Spinnrocksvägen;SKP;1
Valsätra - Spinnrocksvägen;övriga anmälda partier;0
Valsätra - Spinnrocksvägen;Summa giltiga röster;539
Valsätra - Spinnrocksvägen;ej anmält deltagande;0
Valsätra - Spinnrocksvägen;blanka röster;4
Valsätra - Spinnrocksvägen;övriga ogiltiga;0
Valsätra - Spinnrocksvägen;Valdeltagande;543
Valsätra sydvästra;Moderaterna;12
Valsätra sydvästra;Arbetarepartiet-Socialdemokraterna;164
Valsätra sydvästra;Liberalerna (tidigare Folkpartiet);2
Valsätra sydvästra;Centerpartiet;12
Valsätra sydvästra;Vänsterpartiet;87
Valsätra sydvästra;Miljöpartiet de gröna;10
Valsätra sydvästra;Kristdemokraterna;4
Valsätra sydvästra;Sverigedemokraterna;18
Valsätra sydvästra;Enhet;2
Valsätra sydvästra;Piratpartiet;1
Valsätra sydvästra;Socialisterna-Välfärdspartiet;1
Valsätra sydvästra;Medborgerlig Samling;4
Valsätra sydvästra;Alternativ för Sverige;1
Valsätra sydvästra;Partiet Nyans;25
Valsätra sydvästra;Basinkomstpartiet;1
Valsätra sydvästra;Kristna Värdepartiet;1
Valsätra sydvästra;MoD;2
Valsätra sydvästra;övriga anmälda partier;0
Valsätra sydvästra;Summa giltiga röster;347
Valsätra sydvästra;ej anmält deltagande;0
Valsätra sydvästra;blanka röster;1
Valsätra sydvästra;övriga ogiltiga;0
Valsätra sydvästra;Valdeltagande;348
Gamla Gottsunda - Vårdsätra;Moderaterna;327
Gamla Gottsunda - Vårdsätra;Arbetarepartiet-Socialdemokraterna;337
Gamla Gottsunda - Vårdsätra;Liberalerna (tidigare Folkpartiet);121
Gamla Gottsunda - Vårdsätra;Centerpartiet;157
Gamla Gottsunda - Vårdsätra;Vänsterpartiet;55
Gamla Gottsunda - Vårdsätra;Miljöpartiet de gröna;175
Gamla Gottsunda - Vårdsätra;Kristdemokraterna;64
Gamla Gottsunda - Vårdsätra;Sverigedemokraterna;133
Gamla Gottsunda - Vårdsätra;Piratpartiet;1
Gamla Gottsunda - Vårdsätra;Feministiskt initiativ;1
Gamla Gottsunda - Vårdsätra;Landsbygdspartiet Oberoende;1
Gamla Gottsunda - Vårdsätra;Direktdemokraterna;1
Gamla Gottsunda - Vårdsätra;Alternativ för Sverige;2
Gamla Gottsunda - Vårdsätra;Kristna Värdepartiet;1
Gamla Gottsunda - Vårdsätra;Volt Sverige;1
Gamla Gottsunda - Vårdsätra;övriga anmälda partier;0
Gamla Gottsunda - Vårdsätra;Summa giltiga röster;1377
Gamla Gottsunda - Vårdsätra;ej anmält deltagande;0
Gamla Gottsunda - Vårdsätra;blanka röster;3
Gamla Gottsunda - Vårdsätra;övriga ogiltiga;0
Gamla Gottsunda - Vårdsätra;Valdeltagande;1380
Gottsunda norra;Moderaterna;30
Gottsunda norra;Arbetarepartiet-Socialdemokraterna;246
Gottsunda norra;Liberalerna (tidigare Folkpartiet);7
Gottsunda norra;Centerpartiet;44
Gottsunda norra;Vänsterpartiet;149
Gottsunda norra;Miljöpartiet de gröna;28
Gottsunda norra;Kristdemokraterna;9
Gottsunda norra;Sverigedemokraterna;58
Gottsunda norra;Feministiskt initiativ;2
Gottsunda norra;Socialisterna-Välfärdspartiet;3
Gottsunda norra;Landsbygdspartiet Oberoende;2
Gottsunda norra;Partiet Nyans;44
Gottsunda norra;Klimatalliansen;2
Gottsunda norra;Kristna Värdepartiet;2
Gottsunda norra;MoD;1
Gottsunda norra;SKP;1
Gottsunda norra;övriga anmälda partier;0
Gottsunda norra;Summa giltiga röster;628
Gottsunda norra;ej anmält deltagande;0
Gottsunda norra;blanka röster;2
Gottsunda norra;övriga ogiltiga;0
Gottsunda norra;Valdeltagande;630
Gottsunda - Stenhammarsparken;Moderaterna;27
Gottsunda - Stenhammarsparken;Arbetarepartiet-Socialdemokraterna;231
Gottsunda - Stenhammarsparken;Liberalerna (tidigare Folkpartiet);4
Gottsunda - Stenhammarsparken;Centerpartiet;24
Gottsunda - Stenhammarsparken;Vänsterpartiet;172
Gottsunda - Stenhammarsparken;Miljöpartiet de gröna;24
Gottsunda - Stenhammarsparken;Kristdemokraterna;12
Gottsunda - Stenhammarsparken;Sverigedemokraterna;48
Gottsunda - Stenhammarsparken;Piratpartiet;3
Gottsunda - Stenhammarsparken;Feministiskt initiativ;4
Gottsunda - Stenhammarsparken;Socialisterna-Välfärdspartiet;1
Gottsunda - Stenhammarsparken;Medborgerlig Samling;1
Gottsunda - Stenhammarsparken;Alternativ för Sverige;2
Gottsunda - Stenhammarsparken;Partiet Nyans;50
Gottsunda - Stenhammarsparken;Kristna Värdepartiet;1
Gottsunda - Stenhammarsparken;SKP;1
Gottsunda - Stenhammarsparken;övriga anmälda partier;0
Gottsunda - Stenhammarsparken;Summa giltiga röster;605
Gottsunda - Stenhammarsparken;ej anmält deltagande;0
Gottsunda - Stenhammarsparken;blanka röster;4
Gottsunda - Stenhammarsparken;övriga ogiltiga;0
Gottsunda - Stenhammarsparken;Valdeltagande;609
Gottsunda Centrum;Moderaterna;64
Gottsunda Centrum;Arbetarepartiet-Socialdemokraterna;281
Gottsunda Centrum;Liberalerna (tidigare Folkpartiet);24
Gottsunda Centrum;Centerpartiet;26
Gottsunda Centrum;Vänsterpartiet;127
Gottsunda Centrum;Miljöpartiet de gröna;55
Gottsunda Centrum;Kristdemokraterna;23
Gottsunda Centrum;Sverigedemokraterna;89
Gottsunda Centrum;Piratpartiet;1
Gottsunda Centrum;Feministiskt initiativ;1
Gottsunda Centrum;Socialisterna-Välfärdspartiet;4
Gottsunda Centrum;Alternativ för Sverige;1
Gottsunda Centrum;Partiet Nyans;13
Gottsunda Centrum;Basinkomstpartiet;2
Gottsunda Centrum;Kristna Värdepartiet;4
Gottsunda Centrum;SKP;1
Gottsunda Centrum;Partiet Frihet;3
Gottsunda Centrum;övriga anmälda partier;0
Gottsunda Centrum;Summa giltiga röster;719
Gottsunda Centrum;ej anmält deltagande;0
Gottsunda Centrum;blanka röster;5
Gottsunda Centrum;övriga ogiltiga;3
Gottsunda Centrum;Valdeltagande;727
Gottsunda mellersta;Moderaterna;20
Gottsunda mellersta;Arbetarepartiet-Socialdemokraterna;205
Gottsunda mellersta;Liberalerna (tidigare Folkpartiet);5
Gottsunda mellersta;Centerpartiet;24
Gottsunda mellersta;Vänsterpartiet;143
Gottsunda mellersta;Miljöpartiet de gröna;40
Gottsunda mellersta;Kristdemokraterna;10
Gottsunda mellersta;Sverigedemokraterna;56
Gottsunda mellersta;Piratpartiet;5
Gottsunda mellersta;Socialisterna-Välfärdspartiet;1
Gottsunda mellersta;Alternativ för Sverige;3
Gottsunda mellersta;Partiet Nyans;29
Gottsunda mellersta;Basinkomstpartiet;1
Gottsunda mellersta;Klimatalliansen;1
Gottsunda mellersta;Kristna Värdepartiet;6
Gottsunda mellersta;SKP;1
Gottsunda mellersta;övriga anmälda partier;1
Gottsunda mellersta;Summa giltiga röster;551
Gottsunda mellersta;ej anmält deltagande;0
Gottsunda mellersta;blanka röster;2
Gottsunda mellersta;övriga ogiltiga;0
Gottsunda mellersta;Valdeltagande;553
Gottsunda östra;Moderaterna;60
Gottsunda östra;Arbetarepartiet-Socialdemokraterna;348
Gottsunda östra;Liberalerna (tidigare Folkpartiet);15
Gottsunda östra;Centerpartiet;45
Gottsunda östra;Vänsterpartiet;213
Gottsunda östra;Miljöpartiet de gröna;77
Gottsunda östra;Kristdemokraterna;30
Gottsunda östra;Sverigedemokraterna;78
Gottsunda östra;Piratpartiet;1
Gottsunda östra;Feministiskt initiativ;2
Gottsunda östra;Socialisterna-Välfärdspartiet;3
Gottsunda östra;Medborgerlig Samling;3
Gottsunda östra;Alternativ för Sverige;2
Gottsunda östra;Partiet Nyans;21
Gottsunda östra;Knapptryckarna;1
Gottsunda östra;Basinkomstpartiet;1
Gottsunda östra;Kristna Värdepartiet;1
Gottsunda östra;MoD;1
Gottsunda östra;övriga anmälda partier;0
Gottsunda östra;Summa giltiga röster;902
Gottsunda östra;ej anmält deltagande;0
Gottsunda östra;blanka röster;8
Gottsunda östra;övriga ogiltiga;1
Gottsunda östra;Valdeltagande;911
Sunnersta östra;Moderaterna;260
Sunnersta östra;Arbetarepartiet-Socialdemokraterna;230
Sunnersta östra;Liberalerna (tidigare Folkpartiet);114
Sunnersta östra;Centerpartiet;103
Sunnersta östra;Vänsterpartiet;34
Sunnersta östra;Miljöpartiet de gröna;127
Sunnersta östra;Kristdemokraterna;31
Sunnersta östra;Sverigedemokraterna;91
Sunnersta östra;Feministiskt initiativ;1
Sunnersta östra;Medborgerlig Samling;4
Sunnersta östra;Alternativ för Sverige;4
Sunnersta östra;Knapptryckarna;2
Sunnersta östra;Basinkomstpartiet;1
Sunnersta östra;Klimatalliansen;2
Sunnersta östra;MoD;1
Sunnersta östra;Kalle ankapartiet;1
Sunnersta östra;övriga anmälda partier;0
Sunnersta östra;Summa giltiga röster;1006
Sunnersta östra;ej anmält deltagande;1
Sunnersta östra;blanka röster;8
Sunnersta östra;övriga ogiltiga;0
Sunnersta östra;Valdeltagande;1015
Sunnersta norra;Moderaterna;229
Sunnersta norra;Arbetarepartiet-Socialdemokraterna;174
Sunnersta norra;Liberalerna (tidigare Folkpartiet);72
Sunnersta norra;Centerpartiet;76
Sunnersta norra;Vänsterpartiet;36
Sunnersta norra;Miljöpartiet de gröna;63
Sunnersta norra;Kristdemokraterna;36
Sunnersta norra;Sverigedemokraterna;52
Sunnersta norra;Enhet;1
Sunnersta norra;Piratpartiet;3
Sunnersta norra;Feministiskt initiativ;1
Sunnersta norra;Landsbygdspartiet Oberoende;1
Sunnersta norra;Medborgerlig Samling;6
Sunnersta norra;Alternativ för Sverige;2
Sunnersta norra;Partiet Nyans;1
Sunnersta norra;övriga anmälda partier;0
Sunnersta norra;Summa giltiga röster;753
Sunnersta norra;ej anmält deltagande;0
Sunnersta norra;blanka röster;5
Sunnersta norra;övriga ogiltiga;1
Sunnersta norra;Valdeltagande;759
Sunnersta mellersta;Moderaterna;287
Sunnersta mellersta;Arbetarepartiet-Socialdemokraterna;249
Sunnersta mellersta;Liberalerna (tidigare Folkpartiet);95
Sunnersta mellersta;Centerpartiet;123
Sunnersta mellersta;Vänsterpartiet;37
Sunnersta mellersta;Miljöpartiet de gröna;108
Sunnersta mellersta;Kristdemokraterna;53
Sunnersta mellersta;Sverigedemokraterna;112
Sunnersta mellersta;Piratpartiet;2
Sunnersta mellersta;Landsbygdspartiet Oberoende;1
Sunnersta mellersta;Medborgerlig Samling;3
Sunnersta mellersta;Alternativ för Sverige;1
Sunnersta mellersta;MoD;1
Sunnersta mellersta;övriga anmälda partier;0
Sunnersta mellersta;Summa giltiga röster;1072
Sunnersta mellersta;ej anmält deltagande;0
Sunnersta mellersta;blanka röster;4
Sunnersta mellersta;övriga ogiltiga;0
Sunnersta mellersta;Valdeltagande;1076
Sunnersta södra;Moderaterna;278
Sunnersta södra;Arbetarepartiet-Socialdemokraterna;226
Sunnersta södra;Liberalerna (tidigare Folkpartiet);100
Sunnersta södra;Centerpartiet;105
Sunnersta södra;Vänsterpartiet;42
Sunnersta södra;Miljöpartiet de gröna;72
Sunnersta södra;Kristdemokraterna;46
Sunnersta södra;Sverigedemokraterna;91
Sunnersta södra;Feministiskt initiativ;1
Sunnersta södra;Socialisterna-Välfärdspartiet;1
Sunnersta södra;Alternativ för Sverige;2
Sunnersta södra;Kristna Värdepartiet;1
Sunnersta södra;MoD;1
Sunnersta södra;övriga anmälda partier;0
Sunnersta södra;Summa giltiga röster;966
Sunnersta södra;ej anmält deltagande;0
Sunnersta södra;blanka röster;4
Sunnersta södra;övriga ogiltiga;0
Sunnersta södra;Valdeltagande;970
Västra Björklinge;Moderaterna;249
Västra Björklinge;Arbetarepartiet-Socialdemokraterna;325
Västra Björklinge;Liberalerna (tidigare Folkpartiet);47
Västra Björklinge;Centerpartiet;65
Västra Björklinge;Vänsterpartiet;50
Västra Björklinge;Miljöpartiet de gröna;37
Västra Björklinge;Kristdemokraterna;86
Västra Björklinge;Sverigedemokraterna;244
Västra Björklinge;Piratpartiet;1
Västra Björklinge;Socialisterna-Välfärdspartiet;2
Västra Björklinge;Landsbygdspartiet Oberoende;1
Västra Björklinge;Direktdemokraterna;1
Västra Björklinge;Medborgerlig Samling;2
Västra Björklinge;Alternativ för Sverige;4
Västra Björklinge;Knapptryckarna;1
Västra Björklinge;Kristna Värdepartiet;2
Västra Björklinge;MoD;1
Västra Björklinge;övriga anmälda partier;0
Västra Björklinge;Summa giltiga röster;1118
Västra Björklinge;ej anmält deltagande;0
Västra Björklinge;blanka röster;12
Västra Björklinge;övriga ogiltiga;2
Västra Björklinge;Valdeltagande;1132
Östra Björklinge;Moderaterna;253
Östra Björklinge;Arbetarepartiet-Socialdemokraterna;367
Östra Björklinge;Liberalerna (tidigare Folkpartiet);43
Östra Björklinge;Centerpartiet;75
Östra Björklinge;Vänsterpartiet;44
Östra Björklinge;Miljöpartiet de gröna;50
Östra Björklinge;Kristdemokraterna;81
Östra Björklinge;Sverigedemokraterna;206
Östra Björklinge;Piratpartiet;3
Östra Björklinge;Feministiskt initiativ;2
Östra Björklinge;Medborgerlig Samling;3
Östra Björklinge;Alternativ för Sverige;3
Östra Björklinge;Kristna Värdepartiet;1
Östra Björklinge;övriga anmälda partier;0
Östra Björklinge;Summa giltiga röster;1131
Östra Björklinge;ej anmält deltagande;0
Östra Björklinge;blanka röster;12
Östra Björklinge;övriga ogiltiga;1
Östra Björklinge;Valdeltagande;1144
Björklinge glesbygd;Moderaterna;176
Björklinge glesbygd;Arbetarepartiet-Socialdemokraterna;190
Björklinge glesbygd;Liberalerna (tidigare Folkpartiet);23
Björklinge glesbygd;Centerpartiet;76
Björklinge glesbygd;Vänsterpartiet;38
Björklinge glesbygd;Miljöpartiet de gröna;30
Björklinge glesbygd;Kristdemokraterna;82
Björklinge glesbygd;Sverigedemokraterna;231
Björklinge glesbygd;Piratpartiet;1
Björklinge glesbygd;Feministiskt initiativ;2
Björklinge glesbygd;Landsbygdspartiet Oberoende;3
Björklinge glesbygd;Medborgerlig Samling;3
Björklinge glesbygd;Alternativ för Sverige;1
Björklinge glesbygd;Knapptryckarna;2
Björklinge glesbygd;Kristna Värdepartiet;2
Björklinge glesbygd;övriga anmälda partier;0
Björklinge glesbygd;Summa giltiga röster;860
Björklinge glesbygd;ej anmält deltagande;0
Björklinge glesbygd;blanka röster;12
Björklinge glesbygd;övriga ogiltiga;1
Björklinge glesbygd;Valdeltagande;873
Viksta;Moderaterna;83
Viksta;Arbetarepartiet-Socialdemokraterna;93
Viksta;Liberalerna (tidigare Folkpartiet);15
Viksta;Centerpartiet;47
Viksta;Vänsterpartiet;26
Viksta;Miljöpartiet de gröna;22
Viksta;Kristdemokraterna;36
Viksta;Sverigedemokraterna;124
Viksta;Enhet;1
Viksta;Piratpartiet;1
Viksta;Landsbygdspartiet Oberoende;2
Viksta;Medborgerlig Samling;3
Viksta;MoD;1
Viksta;övriga anmälda partier;0
Viksta;Summa giltiga röster;454
Viksta;ej anmält deltagande;0
Viksta;blanka röster;6
Viksta;övriga ogiltiga;0
Viksta;Valdeltagande;460
Storvreta - Lyckebo;Moderaterna;141
Storvreta - Lyckebo;Arbetarepartiet-Socialdemokraterna;322
Storvreta - Lyckebo;Liberalerna (tidigare Folkpartiet);49
Storvreta - Lyckebo;Centerpartiet;52
Storvreta - Lyckebo;Vänsterpartiet;87
Storvreta - Lyckebo;Miljöpartiet de gröna;77
Storvreta - Lyckebo;Kristdemokraterna;103
Storvreta - Lyckebo;Sverigedemokraterna;131
Storvreta - Lyckebo;Piratpartiet;1
Storvreta - Lyckebo;Partiet Nyans;4
Storvreta - Lyckebo;Kristna Värdepartiet;4
Storvreta - Lyckebo;MoD;1
Storvreta - Lyckebo;SKP;1
Storvreta - Lyckebo;övriga anmälda partier;0
Storvreta - Lyckebo;Summa giltiga röster;973
Storvreta - Lyckebo;ej anmält deltagande;0
Storvreta - Lyckebo;blanka röster;8
Storvreta - Lyckebo;övriga ogiltiga;0
Storvreta - Lyckebo;Valdeltagande;981
Gamla Storvreta;Moderaterna;154
Gamla Storvreta;Arbetarepartiet-Socialdemokraterna;207
Gamla Storvreta;Liberalerna (tidigare Folkpartiet);46
Gamla Storvreta;Centerpartiet;39
Gamla Storvreta;Vänsterpartiet;22
Gamla Storvreta;Miljöpartiet de gröna;54
Gamla Storvreta;Kristdemokraterna;57
Gamla Storvreta;Sverigedemokraterna;86
Gamla Storvreta;Piratpartiet;1
Gamla Storvreta;Direktdemokraterna;1
Gamla Storvreta;Medborgerlig Samling;1
Gamla Storvreta;Alternativ för Sverige;3
Gamla Storvreta;Partiet Nyans;2
Gamla Storvreta;Knapptryckarna;1
Gamla Storvreta;övriga anmälda partier;0
Gamla Storvreta;Summa giltiga röster;674
Gamla Storvreta;ej anmält deltagande;0
Gamla Storvreta;blanka röster;4
Gamla Storvreta;övriga ogiltiga;0
Gamla Storvreta;Valdeltagande;678
Norra Storvreta;Moderaterna;164
Norra Storvreta;Arbetarepartiet-Socialdemokraterna;344
Norra Storvreta;Liberalerna (tidigare Folkpartiet);40
Norra Storvreta;Centerpartiet;59
Norra Storvreta;Vänsterpartiet;56
Norra Storvreta;Miljöpartiet de gröna;41
Norra Storvreta;Kristdemokraterna;100
Norra Storvreta;Sverigedemokraterna;166
Norra Storvreta;Feministiskt initiativ;1
Norra Storvreta;Klassiskt liberala partiet;1
Norra Storvreta;Landsbygdspartiet Oberoende;1
Norra Storvreta;Medborgerlig Samling;1
Norra Storvreta;Partiet Vändpunkt;1
Norra Storvreta;Partiet Nyans;6
Norra Storvreta;Kristna Värdepartiet;6
Norra Storvreta;övriga anmälda partier;0
Norra Storvreta;Summa giltiga röster;987
Norra Storvreta;ej anmält deltagande;1
Norra Storvreta;blanka röster;9
Norra Storvreta;övriga ogiltiga;2
Norra Storvreta;Valdeltagande;999
Östra Storvreta;Moderaterna;221
Östra Storvreta;Arbetarepartiet-Socialdemokraterna;350
Östra Storvreta;Liberalerna (tidigare Folkpartiet);71
Östra Storvreta;Centerpartiet;77
Östra Storvreta;Vänsterpartiet;46
Östra Storvreta;Miljöpartiet de gröna;64
Östra Storvreta;Kristdemokraterna;108
Östra Storvreta;Sverigedemokraterna;161
Östra Storvreta;Piratpartiet;1
Östra Storvreta;Medborgerlig Samling;1
Östra Storvreta;Alternativ för Sverige;1
Östra Storvreta;Knapptryckarna;1
Östra Storvreta;Kristna Värdepartiet;2
Östra Storvreta;övriga anmälda partier;0
Östra Storvreta;Summa giltiga röster;1104
Östra Storvreta;ej anmält deltagande;0
Östra Storvreta;blanka röster;5
Östra Storvreta;övriga ogiltiga;0
Östra Storvreta;Valdeltagande;1109
Storvretabygden - Fullerö hage;Moderaterna;270
Storvretabygden - Fullerö hage;Arbetarepartiet-Socialdemokraterna;318
Storvretabygden - Fullerö hage;Liberalerna (tidigare Folkpartiet);63
Storvretabygden - Fullerö hage;Centerpartiet;82
Storvretabygden - Fullerö hage;Vänsterpartiet;73
Storvretabygden - Fullerö hage;Miljöpartiet de gröna;66
Storvretabygden - Fullerö hage;Kristdemokraterna;143
Storvretabygden - Fullerö hage;Sverigedemokraterna;342
Storvretabygden - Fullerö hage;Piratpartiet;1
Storvretabygden - Fullerö hage;Feministiskt initiativ;1
Storvretabygden - Fullerö hage;Landsbygdspartiet Oberoende;3
Storvretabygden - Fullerö hage;Medborgerlig Samling;5
Storvretabygden - Fullerö hage;Alternativ för Sverige;4
Storvretabygden - Fullerö hage;Partiet Nyans;4
Storvretabygden - Fullerö hage;övriga anmälda partier;0
Storvretabygden - Fullerö hage;Summa giltiga röster;1375
Storvretabygden - Fullerö hage;ej anmält deltagande;0
Storvretabygden - Fullerö hage;blanka röster;6
Storvretabygden - Fullerö hage;övriga ogiltiga;2
Storvretabygden - Fullerö hage;Valdeltagande;1383
Vattholma;Moderaterna;190
Vattholma;Arbetarepartiet-Socialdemokraterna;356
Vattholma;Liberalerna (tidigare Folkpartiet);61
Vattholma;Centerpartiet;79
Vattholma;Vänsterpartiet;53
Vattholma;Miljöpartiet de gröna;89
Vattholma;Kristdemokraterna;60
Vattholma;Sverigedemokraterna;195
Vattholma;Piratpartiet;1
Vattholma;Medborgerlig Samling;1
Vattholma;Alternativ för Sverige;2
Vattholma;Partiet Nyans;1
Vattholma;Kalle ankapartiet;1
Vattholma;SKP;1
Vattholma;övriga anmälda partier;0
Vattholma;Summa giltiga röster;1090
Vattholma;ej anmält deltagande;0
Vattholma;blanka röster;5
Vattholma;övriga ogiltiga;0
Vattholma;Valdeltagande;1095
Skyttorp - Tensta;Moderaterna;218
Skyttorp - Tensta;Arbetarepartiet-Socialdemokraterna;338
Skyttorp - Tensta;Liberalerna (tidigare Folkpartiet);32
Skyttorp - Tensta;Centerpartiet;72
Skyttorp - Tensta;Vänsterpartiet;65
Skyttorp - Tensta;Miljöpartiet de gröna;53
Skyttorp - Tensta;Kristdemokraterna;85
Skyttorp - Tensta;Sverigedemokraterna;311
Skyttorp - Tensta;Piratpartiet;4
Skyttorp - Tensta;Feministiskt initiativ;1
Skyttorp - Tensta;Landsbygdspartiet Oberoende;9
Skyttorp - Tensta;Medborgerlig Samling;2
Skyttorp - Tensta;Alternativ för Sverige;2
Skyttorp - Tensta;Knapptryckarna;1
Skyttorp - Tensta;Kristna Värdepartiet;3
Skyttorp - Tensta;SKP;1
Skyttorp - Tensta;övriga anmälda partier;0
Skyttorp - Tensta;Summa giltiga röster;1197
Skyttorp - Tensta;ej anmält deltagande;1
Skyttorp - Tensta;blanka röster;11
Skyttorp - Tensta;övriga ogiltiga;0
Skyttorp - Tensta;Valdeltagande;1209
Börje;Moderaterna;154
Börje;Arbetarepartiet-Socialdemokraterna;152
Börje;Liberalerna (tidigare Folkpartiet);26
Börje;Centerpartiet;83
Börje;Vänsterpartiet;20
Börje;Miljöpartiet de gröna;51
Börje;Kristdemokraterna;53
Börje;Sverigedemokraterna;143
Börje;Medborgerlig Samling;1
Börje;Alternativ för Sverige;1
Börje;övriga anmälda partier;0
Börje;Summa giltiga röster;684
Börje;ej anmält deltagande;0
Börje;blanka röster;10
Börje;övriga ogiltiga;1
Börje;Valdeltagande;695
Lövstalöt;Moderaterna;276
Lövstalöt;Arbetarepartiet-Socialdemokraterna;403
Lövstalöt;Liberalerna (tidigare Folkpartiet);46
Lövstalöt;Centerpartiet;90
Lövstalöt;Vänsterpartiet;62
Lövstalöt;Miljöpartiet de gröna;49
Lövstalöt;Kristdemokraterna;83
